ip_address,first_seen,last_seen,sources,asn,isp_name,country,city,hostname,host_type,risk_level,abuse_contact,cidr,asn_registry,updated_date
45.78.217.250,2025-11-26 10:43:04,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"45.78.192.0/19, 45.78.224.0/20, 45.78.240.0/21, 45.78.248.0/22, 45.78.252.0/23, 45.78.254.0/24, 45.78.255.0/25, 45.78.255.128/26, 45.78.255.192/27, 45.78.255.224/28, 45.78.255.240/29, 45.78.255.248/30, 45.78.255.252/31, 45.78.255.254/32",apnic,Unknown
128.199.168.119,2025-11-26 10:43:25,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",14061,"DIGITALOCEAN-ASN, US",GB,Unknown,Unknown,Cloud/Hosting,High (Cloud),abuse@digitalocean.com,128.199.0.0/16,ripencc,Unknown
103.249.84.18,2025-11-26 10:43:26,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",55720,"GIGABIT-MY Gigabit Hosting Sdn Bhd, MY",MY,Unknown,Unknown,Cloud/Hosting,High (Cloud),david@invision7.com,103.249.84.0/24,apnic,Unknown
47.238.217.123,2025-11-26 10:43:27,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",US,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,47.238.0.0/15,arin,Unknown
156.239.45.43,2025-11-26 10:43:29,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",400619,"AROSS-AS, US",SC,Unknown,Unknown,Residential/ISP,Moderate (Res),Unknown,156.239.45.0/24,afrinic,Unknown
14.96.134.42,2025-11-26 10:43:30,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",45820,"TTSL-MEISISP Tata Teleservices ISP AS, IN",IN,Unknown,mail.tataidc.com,Residential/ISP,Moderate (Res),ip.abuse@tatatel.co.in,14.96.0.0/15,apnic,Unknown
151.252.84.225,2025-11-26 10:43:31,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",30855,"TELE-PLUS-AS, RU",RU,Unknown,151.252.84.225.ip.tele-plus.ru,Residential/ISP,Moderate (Res),abuse@tele-plus.ru,151.252.84.0/24,ripencc,Unknown
156.236.74.199,2025-11-26 10:43:33,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",138152,"YISUCLOUDLTD-HK YISU CLOUD LTD, HK",SC,Unknown,Unknown,Cloud/Hosting,High (Cloud),Unknown,156.236.74.0/24,afrinic,Unknown
101.47.162.20,2025-11-26 10:43:34,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",150436,"BYTEPLUS-AS-AP Byteplus Pte. Ltd., SG",SG,Unknown,Unknown,Residential/ISP,Moderate (Res),bd_abuse@bytedance.com,"101.47.112.0/20, 101.47.128.0/17",apnic,Unknown
62.60.131.17,2025-11-26 10:43:36,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",208137,"FPS12, RO",IR,Unknown,Unknown,Residential/ISP,Moderate (Res),admin@feoprest.life,62.60.131.0/24,ripencc,Unknown
14.103.122.182,2025-11-26 10:43:40,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",4811 137718,,CN,Unknown,Unknown,Residential/ISP,Moderate (Res),gnoc@bytedance.com,14.103.0.0/16,apnic,Unknown
202.83.162.167,2025-11-26 10:43:49,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",23888,"NTC-AS-AP National Telecommunication Corporation HQ, PK",PK,Unknown,Unknown,Residential/ISP,Moderate (Res),zahir.abbas@ntc.org.pk,202.83.160.0/20,apnic,Unknown
200.91.236.125,2025-11-26 10:43:50,2025-11-26 10:48:55,"GreenSnow, IPSum Level 3",18747,"IFX18747, US",CO,Unknown,mail.taxislibres.com.co,Residential/ISP,Moderate (Res),aframirez@ifxcorp.com,200.91.224.0/19,lacnic,Unknown
81.88.53.133,2025-11-26 10:43:55,2025-11-26 10:48:55,GreenSnow,39729,"REGISTER-AS, IT",IT,Unknown,lhwp3383.webapps.net,Residential/ISP,Moderate (Res),abuse@register.it,81.88.52.0/23,ripencc,Unknown
